Word,genre,nombre,nblettres,particle,level,anglais,Definition,domaine,Synonyms,homophone
Homme,m,s,5,l' / un,0,Man,,personne,,
Femme,f,s,5,la / une,0,Woman,,neutre,,
Chaise,f,s,6,la / une,0,Chair,,neutre,,
Chaises,f,p,6,les / des,0,Chairs,,neutre,,
Français,m,,7,le / un / les / des,0,French / Frenches,,personne,,
Française,f,s,8,la / une,0,French,,personne,,
Françaises,f,p,9,les / des,0,Frenches,,,,
Jeu,m,s,3,le /un,0,Game,,,,
Jeux,m,p,4,les / des,0,Games,,,,
Ordinateur,m,s,10,le /un,0,Computer,,,,
Ordinateurs,m,p,11,les / des,0,Computers,,,,
Chair,f,s,5,la / une,0,Flesh,,,,
Os,m,,2,l' / un / les / des,0,Bone / Bones,,,,
Table,f,s,5,la / une,0,Table,,,,
Tables,f,p,6,les / des,0,Tables,,,,
Viande,f,s,6,la / une,0,Meat,,,,
Viandes,f,p,7,les / des,0,Meats,,,,
Légume,m,s,6,le / un,0,Vegetable,,,,
Légumes,m,p,7,les / des,0,Vegetables,,,,
Livre,m,s,5,le /un,0,Book,,,,
Livres,m,p,6,les / des,0,Books,,,,
École,f,s,5,l' / une,0,School,,,,
Écoles,f,p,6,les / des,0,Schools,,,,
Cahier,m,s,6,le / un,0,Notebook,,,,
Cahiers,m,p,7,les / des,0,Notebooks,,,,
Habit,m,s,5,l' / un,0,Clothing,,,,
Habits,m,p,6,les / des,0,Clothes,,,,
Vacances,f,p,7,les / des,0,Holiday,,,,
Animale,m,p,7,le /un,0,Animal,,,,
Animaux,m,s,7,les / des,0,Animals,,,,
Chat,m,s,4,le / un,0,Cat,,,,
Chatte,f,s,6,la / une,0,Cats,,,,
Chien,m,s,5,le /un,0,Dog,,,,
Chienne,f,s,7,la / une,0,Dogs,,,,
Poulet,m,s,6,le /un,0,Chicken,,,,
Poulets,m,p,6,les / des,,chickens,,,,
Poule,f,s,5,les / des,,hen / chickens,,,,
Poules,f,p,6,les / des,,hens / chickens,,,,
poulette,f,s,8,la / une,,Chicken,Jeune poule,,,
poussine,f,s,8,la / une,,chick,,,,
poussin,m,s,7,le /un,,chick,,,,
Cochon,m,s,6,le /un,,Pig,,,,
Porc,m,s,4,le /un,,Pig,,,,
Truie,f,s,5,la / une,,Sow,,,,
Porcelet,m,s,8,le /un,,Piglet,,,,
Sanglier,m,s,8,le /un,,Boar,Porc sauvage,,,
laie,f,s,4,la / une,,Sow,Femelle sanglier,,,
marcassin ,m,s,8,le /un,,piglet / boarlet,Le petit de la laie,,,
Taureau,m,s,8,le /un,,Bull,,,,
Bœuf ,m,s,5,le /un,,Beef,Viande du taureau,,,
Vache,f,s,5,la / une,,Cow,,,,
Veau,m,s,4,le /un,,Calf,,,,
Veaux,m,p,5,les / des,,Calves,,,,
Chèvre,f,s,6,la / une,,Goat / Sheep / Doe,,,,
Boucs ,m,s,5,le /un,,Goat,,,,
Chevreau,m,s,8,le /un,,Kid,Un jeune bouc,,,
Biquet,m,s,6,le /un,,Biquet,Un jeune bouc,,,
Bicot,m,s,5,le /un,,Bicot,Un jeune bouc,,,
cabri,m,s,5,le /un,,Goat,Un jeune bouc,,,
Chevrette,f,s,9,la / une,,doe,Une jeune chèvre,,,
Biquette,f,s,8,la / une,,young female goat,Une jeune chèvre,,,
Elan,m,s,4,le /un,,Alces / Moose / orignal / elk ,Masculin et feminin,,,
Faon,m,s,4,le /un,,Fawn,Un/une jeune Elan,,,
Cerf,m,s,4,le /un,,Deer,Masculin de la biche,,,
Biche,f,s,5,la / une,,Doe,Feminin du cref,,,
