Word,genre,nombre,nblettres,nbsyll
abaissante,f,s,10,3
abaisse,f,s,7,2
abaissée,f,s,8,3
abaissée,f,s,8,3
abaissées,f,p,9,3
abaissées,f,p,9,3
abandonnée,f,s,10,4
abandonnée,f,s,10,4
abandonnées,f,p,11,4
abandonnées,f,p,11,4
abasourdie,f,s,10,4
abasourdie,f,s,10,4
abattue,f,s,7,3
abattue,f,s,7,3
abattues,f,p,8,3
abattues,f,p,8,3
abattures,f,p,9,3
abbatiale,f,s,9,3
abbatiale,f,s,9,3
abbatiales,f,p,10,3
abbaye,f,s,6,3
abbayes,f,p,7,3
abbesse,f,s,7,2
abbesses,f,p,8,2
abdication,f,s,10,4
abdications,f,p,11,4
abdiquée,f,s,8,3
abdominale,f,s,10,4
abdominales,f,p,11,4
abduction,f,s,9,3
abeille,f,s,7,2
abeilles,f,p,8,2
aberrante,f,s,9,3
aberrantes,f,p,10,3
aberration,f,s,10,4
aberrations,f,p,11,4
abhorrée,f,s,8,3
abhorrée,f,s,8,3
abjecte,f,s,7,2
abjectes,f,p,8,2
abjection,f,s,9,3
abjections,f,p,10,3
abjuration,f,s,10,4
abjurations,f,p,11,4
abkhaze,f,s,7,2
ablation,f,s,8,3
ablations,f,p,9,3
ablette,f,s,7,2
ablettes,f,p,8,2
ablution,f,s,8,3
ablutions,f,p,9,3
abnégation,f,s,10,4
abolie,f,s,6,3
abolie,f,s,6,3
abolies,f,p,7,3
abolies,f,p,7,3
abolition,f,s,9,4
abomination,f,s,11,5
abominations,f,p,12,5
abondance,f,s,9,3
abondante,f,s,9,3
abondantes,f,p,10,3
abonnée,f,s,7,3
abonnée,f,s,7,3
abonnée,f,s,7,3
abonnées,f,p,8,3
abonnées,f,p,8,3
abordée,f,s,7,3
abordées,f,p,8,3
abordées,f,p,8,3
abortive,f,s,8,3
abortives,f,p,9,3
abouchée,f,s,8,3
aboulie,f,s,7,3
aboutie,f,s,7,3
aboutie,f,s,7,3
aboyante,f,s,8,3
abracadabrante,f,s,14,5
abracadabrantes,f,p,15,5
abrasion,f,s,8,3
abrasive,f,s,8,3
abreuvée,f,s,8,3
abricotine,f,s,10,4
abritée,f,s,7,3
abritée,f,s,7,3
abritées,f,p,8,3
abrogation,f,s,10,4
abrogée,f,s,7,3
abrogées,f,p,8,3
abrupte,f,s,7,2
abruptes,f,p,8,2
abrutie,f,s,7,3
abrutie,f,s,7,3
abrutie,f,s,7,3
abruties,f,p,8,3
abruties,f,p,8,3
abruties,f,p,8,3
abrutissante,f,s,12,4
abrutissantes,f,p,13,4
abrégée,f,s,7,3
abrégée,f,s,7,3
abréviation,f,s,11,4
abréviations,f,p,12,4
abscisse,f,s,8,2
abscission,f,s,10,3
absconse,f,s,8,2
absconses,f,p,9,2
absence,f,s,7,2
absences,f,p,8,2
absente,f,s,7,2
absente,f,s,7,2
absentes,f,p,8,2
absentes,f,p,8,2
absentée,f,s,8,3
abside,f,s,6,2
absides,f,p,7,2
absidiales,f,p,10,3
absidiole,f,s,9,3
absinthe,f,s,8,2
absolue,f,s,7,3
absolues,f,p,8,3
absolution,f,s,10,4
absorbante,f,s,10,3
absorbantes,f,p,11,3
absorbée,f,s,8,3
absorbée,f,s,8,3
absorbées,f,p,9,3
absorbées,f,p,9,3
absorption,f,s,10,3
absorptions,f,p,11,3
absoute,f,s,7,2
absoute,f,s,7,2
absoute,f,s,7,2
absoutes,f,p,8,2
abstention,f,s,10,3
abstenue,f,s,8,3
abstenue,f,s,8,3
abstenues,f,p,9,3
abstinence,f,s,10,3
abstinences,f,p,11,3
abstinente,f,s,10,3
abstraction,f,s,11,3
abstractions,f,p,12,3
abstraite,f,s,9,2
abstraite,f,s,9,2
abstraites,f,p,10,2
abstraites,f,p,10,2
abstruse,f,s,8,2
abstruses,f,p,9,2
absurdité,f,s,9,4
absurdités,f,p,10,4
abusive,f,s,7,3
abusives,f,p,8,3
abusée,f,s,6,3
abusée,f,s,6,3
abusées,f,p,7,3
abusées,f,p,7,3
abyssale,f,s,8,3
abyssales,f,p,9,3
abyssinienne,f,s,12,4
abâtardie,f,s,9,4
abâtardies,f,p,10,4
abêties,f,p,7,3
abîmée,f,s,6,3
abîmées,f,p,7,3
acadienne,f,s,9,3
académie,f,s,8,4
académies,f,p,9,4
acagnardée,f,s,10,4
acanthe,f,s,7,2
acanthes,f,p,8,2
acariâtres,f,p,10,3
accablante,f,s,10,3
accablantes,f,p,11,3
accablée,f,s,8,3
accablée,f,s,8,3
accablées,f,p,9,3
accablées,f,p,9,3
accalmie,f,s,8,3
accalmies,f,p,9,3
accaparante,f,s,11,4
accaparée,f,s,9,4
accaparées,f,p,10,4
accentuation,f,s,12,4
accentuée,f,s,9,3
accentuée,f,s,9,3
accentuées,f,p,10,3
accentuées,f,p,10,3
acceptation,f,s,11,4
acceptations,f,p,12,4
acception,f,s,9,3
